variant,mean_ragas_composite,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily,raw_gnn_train_mean,edge_idx
N7_E10b_T12a,0.6380694567780277,6431,12224,3.801586067485617,0.4002487948997045,0.0057533820556678,1.0,3641,0.9838422151685124,1.7662730019225488,0.0057533820556678,0.7069486404833837,0.0001554968123153,9.770174838241435e-05,0.3078445194414523,0.4103560877002021,,0.5443492329657319,N7,0.7848494764397905,54.54109726904737,E10b
N7_E10b_T12b,0.6517025401795202,6431,12224,3.801586067485617,0.4002487948997045,0.0057533820556678,1.0,3641,0.9838422151685124,1.7662730019225488,0.0057533820556678,0.7069486404833837,0.0001554968123153,9.770174838241435e-05,0.3078445194414523,0.4103560877002021,,0.5350663370129192,N7,0.7848494764397905,54.516007686120496,E10b
N7_E10c_T12a,0.6454777651135267,6431,12224,3.801586067485617,0.4002487948997045,0.0057533820556678,1.0,3641,0.9838422151685124,1.7662730019225488,0.0057533820556678,0.7069486404833837,0.0001554968123153,9.770174838241435e-05,0.3078445194414523,0.4103560877002021,,0.5443492329657319,N7,0.7848494764397905,54.13425364928053,E10c
N7_E10c_T12b,0.6285130984593584,6431,12224,3.801586067485617,0.4002487948997045,0.0057533820556678,1.0,3641,0.9838422151685124,1.7662730019225488,0.0057533820556678,0.7069486404833837,0.0001554968123153,9.770174838241435e-05,0.3078445194414523,0.4103560877002021,,0.5350663370129192,N7,0.7848494764397905,55.25261278716537,E10c
N7_E11a_T12a,0.6949288644185768,6431,13552,4.214585600995179,0.4689783859430881,0.0503809671901726,10.0,3473,0.8951891350505778,1.8517132162395624,0.0287669102783392,0.8684134753815146,0.0001554968123153,0.0001402513318992,0.4690319229970297,0.2243762617303238,,1.0,N7,0.7776711924439197,56.72891004631957,E11a
N7_E11a_T12b,0.6684607541128915,6431,27642,8.596485772041673,0.3029077903902969,0.0856787435857564,21.0,2474,0.9021164060738528,2.599434114793856,0.0380967190172601,0.7873888439773646,0.0001554968123153,0.0001075325715456,0.3817210604506027,0.4003672643407674,,1.0,N7,0.7426380146154403,56.78932352796342,E11a
N7_E11b_T12a,0.47324734074103175,6431,293711,91.34224848390608,0.0,0.4002487948997045,2.0,17,0.7546825334401485,378.2941176470589,0.4002487948997045,0.0,0.0001554968123153,0.0003067081350108,0.4108660959732034,0.8271154352050566,,0.4966693152360665,N7,0.6997729060198631,57.18359436117151,E11b
N7_E11b_T12b,0.4942272444842094,6431,293711,91.34224848390608,0.0,0.4002487948997045,2.0,17,0.7546825334401485,378.2941176470589,0.4002487948997045,0.0,0.0001554968123153,0.0003067081350108,0.4108660959732034,0.8271154352050566,,0.4893400221792556,N7,0.6997729060198631,57.877830615020706,E11b
N8_E10a_T12a,0.6057231329179495,3641,428,0.2351002471848393,0.8508651469376545,0.0019225487503433,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433,0.9292141571685664,0.0002746498214776,0.0002972554781797,0.3855409281660505,0.0420214226860752,0.0,0.8492063492063492,N8,,13.707668883481686,E10a
N8_E10a_T12b,0.59648623350133,3641,428,0.2351002471848393,0.8508651469376545,0.0019225487503433,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433,0.9292141571685664,0.0002746498214776,0.0002972554781797,0.3855409281660505,0.0420214226860752,0.0,0.8492063492063492,N8,,14.318990198808393,E10a
N8_E10a_T12e,0.6038626901055505,3641,428,0.2351002471848393,0.8508651469376545,0.0019225487503433,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433,0.9292141571685664,0.0002746498214776,0.0002972554781797,0.3855409281660505,0.0420214226860752,0.0,0.8492063492063492,N8,,13.524540598695467,E10a
N8_E10b_T12a,0.6140690122113691,3641,0,0.0,1.0,0.0002746498214776,0.0,3641,,1.0,0.0002746498214776,1.0,0.0002746498214776,5.421010862427522e-20,0.0,0.0,,,N8,,12.929254232430413,E10b
N8_E10b_T12b,0.6073174076129653,3641,0,0.0,1.0,0.0002746498214776,0.0,3641,,1.0,0.0002746498214776,1.0,0.0002746498214776,5.421010862427522e-20,0.0,0.0,,,N8,,12.465834340851938,E10b
N8_E10b_T12e,0.6157846603962375,3641,0,0.0,1.0,0.0002746498214776,0.0,3641,,1.0,0.0002746498214776,1.0,0.0002746498214776,5.421010862427522e-20,0.0,0.0,,,N8,,12.31983023555267,E10b
N8_E10c_T12a,0.59120091068915,3641,0,0.0,1.0,0.0002746498214776,0.0,3641,,1.0,0.0002746498214776,1.0,0.0002746498214776,5.421010862427522e-20,0.0,0.0,,,N8,,12.763933076357862,E10c
N8_E10c_T12b,0.6261847858745042,3641,0,0.0,1.0,0.0002746498214776,0.0,3641,,1.0,0.0002746498214776,1.0,0.0002746498214776,5.421010862427522e-20,0.0,0.0,,,N8,,13.100751954486082,E10c
N8_E10c_T12e,0.6098292503081203,3641,0,0.0,1.0,0.0002746498214776,0.0,3641,,1.0,0.0002746498214776,1.0,0.0002746498214776,5.421010862427522e-20,0.0,0.0,,,N8,,12.898780115992018,E10c
N8_E11a_T12a,0.5323416418468617,3641,70247,38.58665201867619,0.3746223564954682,0.5569898379566053,12.0,1489,0.216264394016428,2.445265278710544,0.1389728096676737,0.916051040967092,0.0002746498214776,0.0003689265820844,0.565798610329105,0.3388430149760238,0.0002008983047729,0.7100353701075648,N8,,11.481933139939715,E11a
N8_E11a_T12b,0.5347017138510715,3641,70247,38.58665201867619,0.3746223564954682,0.5569898379566053,12.0,1489,0.216264394016428,2.445265278710544,0.1389728096676737,0.916051040967092,0.0002746498214776,0.0003689265820844,0.565798610329105,0.3388430149760238,0.0002008983047729,0.7100353701075648,N8,,11.323050947606522,E11a
N8_E11a_T12e,0.5289115218471263,3641,70247,38.58665201867619,0.3746223564954682,0.5569898379566053,12.0,1489,0.216264394016428,2.445265278710544,0.1389728096676737,0.916051040967092,0.0002746498214776,0.0003689265820844,0.565798610329105,0.3388430149760238,0.0002008983047729,0.7100353701075648,N8,,11.905826370710821,E11a
N8_E11b_T12a,0.4820452470351019,3641,180775,99.29964295523207,0.0,1.0,2.0,1,1.1102230246251563e-16,3641.0,1.0,0.0,0.0002746498214776,0.0010594214506305,0.4489122604647269,0.9866347914494504,0.0002673041710109,0.5108496862405906,N8,,11.51218341531077,E11b
N8_E11b_T12b,0.44148862919730886,3641,180775,99.29964295523207,0.0,1.0,2.0,1,1.1102230246251563e-16,3641.0,1.0,0.0,0.0002746498214776,0.0010594214506305,0.4489122604647269,0.9866347914494504,0.0002673041710109,0.5108496862405906,N8,,11.63603053473339,E11b
N8_E11b_T12e,0.47854071445804935,3641,180775,99.29964295523207,0.0,1.0,2.0,1,1.1102230246251563e-16,3641.0,1.0,0.0,0.0002746498214776,0.0010594214506305,0.4489122604647269,0.9866347914494504,0.0002673041710109,0.5108496862405906,N8,,10.779902455390145,E11b
