variant,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily
N7_E10b_T12a,6431,12224,3.8015860674856166,0.40024879489970455,0.005753382055667859,1.0,3641,0.9838422151685123,1.7662730019225488,0.005753382055667859,0.7069486404833837,0.0001554968123153483,9.770174838241437e-05,0.30784451944145236,0.41035608770020215,,0.5443492329657319,N7,0.7848494764397905
N7_E10b_T12b,6431,12224,3.8015860674856166,0.40024879489970455,0.005753382055667859,1.0,3641,0.9838422151685123,1.7662730019225488,0.005753382055667859,0.7069486404833837,0.0001554968123153483,9.770174838241437e-05,0.30784451944145236,0.41035608770020215,,0.5350663370129192,N7,0.7848494764397905
N7_E10c_T12a,6431,12224,3.8015860674856166,0.40024879489970455,0.005753382055667859,1.0,3641,0.9838422151685123,1.7662730019225488,0.005753382055667859,0.7069486404833837,0.0001554968123153483,9.770174838241437e-05,0.30784451944145236,0.41035608770020215,,0.5443492329657319,N7,0.7848494764397905
N7_E10c_T12b,6431,12224,3.8015860674856166,0.40024879489970455,0.005753382055667859,1.0,3641,0.9838422151685123,1.7662730019225488,0.005753382055667859,0.7069486404833837,0.0001554968123153483,9.770174838241437e-05,0.30784451944145236,0.41035608770020215,,0.5350663370129192,N7,0.7848494764397905
N7_E11a_T12a,6431,13552,4.214585600995179,0.46897838594308816,0.0503809671901726,10.0,3473,0.8951891350505778,1.8517132162395624,0.028766910278339296,0.8684134753815146,0.0001554968123153476,0.00014025133189920323,0.4690319229970297,0.22437626173032385,,1.0,N7,0.7776711924439197
N7_E11a_T12b,6431,27642,8.596485772041673,0.30290779039029697,0.08567874358575649,21.0,2474,0.9021164060738527,2.599434114793856,0.038096719017260146,0.7873888439773646,0.0001554968123153483,0.00010753257154569989,0.3817210604506027,0.4003672643407674,,1.0,N7,0.7426380146154403
N7_E11b_T12a,6431,293711,91.34224848390608,0.0,0.40024879489970455,2.0,17,0.7546825334401485,378.29411764705884,0.40024879489970455,0.0,0.0001554968123153479,0.00030670813501087915,0.41086609597320345,0.8271154352050566,,0.4966693152360665,N7,0.6997729060198631
N7_E11b_T12b,6431,293711,91.34224848390608,0.0,0.40024879489970455,2.0,17,0.7546825334401485,378.29411764705884,0.40024879489970455,0.0,0.0001554968123153479,0.00030670813501087915,0.41086609597320345,0.8271154352050566,,0.48934002217925565,N7,0.6997729060198631
N8_E10a_T12a,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,N8,
N8_E10a_T12b,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,N8,
N8_E10a_T12e,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,N8,
N8_E10b_T12a,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,,,N8,
N8_E10b_T12b,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,,,N8,
N8_E10b_T12e,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,,,N8,
N8_E10c_T12a,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,,,N8,
N8_E10c_T12b,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,,,N8,
N8_E10c_T12e,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,,,N8,
N8_E11a_T12a,3641,70247,38.58665201867619,0.37462235649546827,0.5569898379566053,12.0,1489,0.21626439401642802,2.445265278710544,0.13897280966767372,0.916051040967092,0.00027464982147761734,0.00036892658208442786,0.565798610329105,0.3388430149760238,0.00020089830477299566,0.7100353701075648,N8,
N8_E11a_T12b,3641,70247,38.58665201867619,0.37462235649546827,0.5569898379566053,12.0,1489,0.21626439401642802,2.445265278710544,0.13897280966767372,0.916051040967092,0.00027464982147761734,0.00036892658208442786,0.565798610329105,0.3388430149760238,0.00020089830477299566,0.7100353701075648,N8,
N8_E11a_T12e,3641,70247,38.58665201867619,0.37462235649546827,0.5569898379566053,12.0,1489,0.21626439401642802,2.445265278710544,0.13897280966767372,0.916051040967092,0.00027464982147761734,0.00036892658208442786,0.565798610329105,0.3388430149760238,0.00020089830477299566,0.7100353701075648,N8,
N8_E11b_T12a,3641,180775,99.29964295523207,0.0,1.0,2.0,1,1.1102230246251565e-16,3641.0,1.0,0.0,0.00027464982147763165,0.001059421450630521,0.44891226046472693,0.9866347914494504,0.0002673041710109768,0.5108496862405906,N8,
N8_E11b_T12b,3641,180775,99.29964295523207,0.0,1.0,2.0,1,1.1102230246251565e-16,3641.0,1.0,0.0,0.00027464982147763165,0.001059421450630521,0.44891226046472693,0.9866347914494504,0.0002673041710109768,0.5108496862405906,N8,
N8_E11b_T12e,3641,180775,99.29964295523207,0.0,1.0,2.0,1,1.1102230246251565e-16,3641.0,1.0,0.0,0.00027464982147763165,0.001059421450630521,0.44891226046472693,0.9866347914494504,0.0002673041710109768,0.5108496862405906,N8,
N8_E11c_T12a,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,N8,
N8_E11c_T12b,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,N8,
N8_E11c_T12e,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,N8,
N9_E10b_T12a,5747,12222,4.253349573690621,0.37480424569340526,0.10614233513137289,13.0,2975,0.9583766130062988,1.931764705882353,0.013224290934400557,0.7240336134453782,0.00017400382808421686,0.00011505560092853578,0.3430516829372971,0.42042360704185894,,0.550524883411327,N9,
N9_E10b_T12b,5747,12222,4.253349573690621,0.37480424569340526,0.10614233513137289,13.0,2975,0.9583766130062988,1.931764705882353,0.013224290934400557,0.7240336134453782,0.00017400382808421686,0.00011505560092853578,0.3430516829372971,0.42042360704185894,,0.550524883411327,N9,
N9_E10b_T12e,5747,12222,4.253349573690621,0.37480424569340526,0.10614233513137289,13.0,2975,0.9583766130062988,1.931764705882353,0.013224290934400557,0.7240336134453782,0.00017400382808421686,0.00011505560092853578,0.3430516829372971,0.42042360704185894,,0.550524883411327,N9,
N9_E10c_T12a,5747,12222,4.253349573690621,0.37480424569340526,0.10614233513137289,13.0,2974,0.9583851283572675,1.9324142568930733,0.013050287106316338,0.7242770679219905,0.00017400382808421686,0.00011505560092853578,0.3430516829372971,0.42042360704185894,,0.550524883411327,N9,
N9_E10c_T12b,5747,12222,4.253349573690621,0.37480424569340526,0.10614233513137289,13.0,2974,0.9583851283572675,1.9324142568930733,0.013050287106316338,0.7242770679219905,0.00017400382808421686,0.00011505560092853578,0.3430516829372971,0.42042360704185894,,0.550524883411327,N9,
N9_E10c_T12e,5747,12222,4.253349573690621,0.37480424569340526,0.10614233513137289,13.0,2974,0.9583851283572675,1.9324142568930733,0.013050287106316338,0.7242770679219905,0.00017400382808421686,0.00011505560092853578,0.3430516829372971,0.42042360704185894,,0.550524883411327,N9,
N9_E11a_T12a,5747,19176,6.673394814685923,0.35879589350965724,0.08247781451191927,21.0,2472,0.8860253543184021,2.3248381877022655,0.03828084217852793,0.8341423948220065,0.0001740038280842179,0.00013402279853159377,0.42032800188527547,0.3280771650444472,,1.0,N9,
N9_E11a_T12b,5747,19176,6.673394814685923,0.35879589350965724,0.08247781451191927,21.0,2472,0.8860253543184021,2.3248381877022655,0.03828084217852793,0.8341423948220065,0.0001740038280842179,0.00013402279853159377,0.42032800188527547,0.3280771650444472,,1.0,N9,
N9_E11a_T12e,5747,19176,6.673394814685923,0.35879589350965724,0.08247781451191927,21.0,2472,0.8860253543184021,2.3248381877022655,0.03828084217852793,0.8341423948220065,0.0001740038280842179,0.00013402279853159377,0.42032800188527547,0.3280771650444472,,1.0,N9,
N9_E11b_T12a,5747,259273,90.22898903775884,0.0,0.37480424569340526,2.0,17,0.7737437631390488,338.05882352941177,0.37480424569340526,0.0,0.00017400382808421643,0.00032512786106913866,0.4004165424578694,0.8830001312481335,,0.48513267062974663,N9,
N9_E11b_T12b,5747,259273,90.22898903775884,0.0,0.37480424569340526,2.0,17,0.7737437631390488,338.05882352941177,0.37480424569340526,0.0,0.00017400382808421643,0.00032512786106913866,0.4004165424578694,0.8830001312481335,,0.48513267062974663,N9,
N9_E11b_T12e,5747,259273,90.22898903775884,0.0,0.37480424569340526,2.0,17,0.7737437631390488,338.05882352941177,0.37480424569340526,0.0,0.00017400382808421643,0.00032512786106913866,0.4004165424578694,0.8830001312481335,,0.48513267062974663,N9,
